task,seed,iteration,mean_reward,std_reward,mean_cost,std_cost,mean_length,std_length
OfflinePointGoal2Gymnasium-v0,0,20000,0.3551640809979738,0.18843613582336116,66.5,66.5,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,0,40000,-0.7607146577665844,0.3852572028585506,188.0,188.0,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,0,60000,-0.12289212059808685,0.5186425190300818,265.0,265.0,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,0,80000,0.007431904982819426,0.12523332180433944,23.0,23.0,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,0,100000,-0.6637492139573689,0.20289914395476094,75.0,75.0,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,0,120000,0.2155967167056494,0.65722879608987,190.5,55.5,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,0,140000,0.007965791622400964,0.9585869625402714,90.0,73.0,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,0,160000,-16.45987854443364,3.669348977150821,55.0,30.0,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,0,180000,-0.7588821841567597,1.9162773386339362,37.5,37.5,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,0,200000,-1.2788786467008872,0.2864717748405732,152.0,110.0,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,0,220000,-2.722873236673783,2.0503231958837436,58.5,58.5,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,0,240000,-1.5601814436992083,0.9307162334446992,0.0,0.0,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,0,260000,-0.1272969082244464,0.5251288953294564,18.5,18.5,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,0,280000,-0.004647651864502111,0.36972130780446844,37.0,14.0,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,0,300000,-0.012207890676031452,0.6328679890447741,13.0,13.0,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,1,20000,0.48734885039561165,1.2151934246747245,49.5,28.5,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,1,40000,0.02574930927027297,0.6228598768280935,114.5,61.5,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,1,60000,-0.4688314309044318,0.27142369483799655,14.0,1.0,1000.0,0.0
OfflinePointGoal2Gymnasium-v0,1,80000,-0.4022927426729286,0.09103782122751625,163.5,23.5,1000.0,0.0
