Train/Step,Train/CostLoss,Time/ElapsedSec
1000,0.004684313666075468,13.84309983253479
2000,0.0021343491971492767,27.11413598060608
3000,0.0004398131277412176,40.63833522796631
4000,0.00016578935901634395,54.1229031085968
5000,0.0001529461151221767,67.60343384742737
6000,7.073079177644104e-05,81.11488342285156
7000,3.6484019801719114e-05,94.42335152626038
8000,5.975736348773353e-05,107.80508637428284
9000,6.087095243856311e-05,121.05288982391357
10000,1.3568847862188704e-05,134.21497750282288
11000,3.81389181711711e-05,147.94653964042664
12000,6.93033280185773e-06,161.8041388988495
13000,2.3021439119474962e-05,175.672030210495
14000,8.035651262616739e-06,189.30924582481384
15000,1.2159012840129435e-05,202.68421173095703
16000,4.967003405909054e-06,216.22139930725098
17000,3.398869012016803e-06,229.7428274154663
18000,1.8237078620586544e-06,242.97894549369812
19000,8.9980841266879e-07,256.22721695899963
20000,8.163531788341061e-07,269.4958851337433
21000,5.098818292026408e-07,282.7294805049896
22000,9.5738323580008e-07,295.9510931968689
23000,2.788417248211772e-07,309.232613325119
24000,1.10899236460682e-07,322.50008392333984
25000,5.716382389664432e-08,335.76897621154785
26000,5.4496638313139556e-08,349.0158233642578
27000,2.842425139704119e-08,362.31313920021057
28000,2.602403981200041e-08,375.68140149116516
29000,3.4193700315654496e-08,389.59124207496643
30000,1.8750181851601155e-08,403.09522557258606
31000,1.2647240588137265e-08,416.3034100532532
32000,1.0367673830558033e-08,429.731059551239
